Shell LPG Terminal,10096,46175,-3.3169,56.0396,1223966,1216768*1216769*1216770*1216771*1220361*1220362*1220363*1220364*1220365*1220366*1220367*1220368*1220369*1220370*1220371*1223961*1223962*1223963*1223964*1223965*1223966*1223967*1223968*1223969*1223970*1223971*1227561*1227562*1227563*1227564*1227565*1227566*1227567*1227568*1227569*1227570*1227571*1231161*1231162*1231163*1231164*1231165*1231166*1231167*1231168*1231169*1231170*1231171*1234761*1234762*1234763*1234764*1234765*1234766*1234767*1234768*1234769*1234770*1234771*1213161*1213162*1213163*1213164*1213165*1213166*1213167*1213168*1213169*1213170*1213171*1216761*1216762*1216763*1216764*1216765*1216766*1216767*
Westport,10106,45045,-9.557,53.8015,1303104,1292300*1292301*1292302*1292303*1292304*1292305*1292306*1292307*1292308*1295900*1295901*1295902*1295903*1295904*1295905*1295906*1295907*1295908*1299500*1299501*1299502*1299503*1299504*1299505*1299506*1299507*1299508*1303100*1303101*1303102*1303103*1303104*1303105*1303106*1303107*1303108*1306700*1306701*1306702*1306703*1306704*1306705*1306706*1306707*1306708*1310300*1310301*1310302*1310303*1310304*1310305*1310306*1310307*1310308*1313900*1313901*1313902*1313903*1313904*1313905*1313906*1313907*1313908*
Pelican Terminal,10111,45684,-136.2251,57.9585,1154237,1143432*1143433*1143434*1143435*1143436*1143437*1143438*1143439*1143440*1143441*1143442*1147032*1147033*1147034*1147035*1147036*1147037*1147038*1147039*1147040*1147041*1147042*1150632*1150633*1150634*1150635*1150636*1150637*1150638*1150639*1150640*1150641*1150642*1154232*1154233*1154234*1154235*1154236*1154237*1154238*1154239*1154240*1154241*1154242*1157832*1157833*1157834*1157835*1157836*1157837*1157838*1157839*1157840*1157841*1157842*1161432*1161433*1161434*1161435*1161436*1161437*1161438*1161439*1161440*1161441*1161442*1165032*1165033*1165034*1165035*1165036*1165037*1165038*1165039*1165040*1165041*1165042*
Tonen General 150 A&B Terminal,10121,45429,139.7663,35.5242,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
Tonen General 200 Terminal,10121,45430,139.7683,35.5207,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
Tonen General 100 Terminal,10121,45431,139.7679,35.5288,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
Asahi Kasei Chemicals Terminal,10121,45432,139.7507,35.5267,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
TOA oil Ohgimachi Terminal,10121,45433,139.7269,35.5042,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
TOA Japan Energy Terminal,10121,45434,139.7443,35.5067,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
Ohgishima Oil Terminal,10121,45435,139.734,35.4926,1966997,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1977794*1977795*1977796*1977797*1977798*1977799*1977800*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
TOA Oil Mizue Terminal,10121,41165,139.7434,35.5129,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
Tokyo Electric Power,10121,38184,139.7383,35.4929,1966997,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1977794*1977795*1977796*1977797*1977798*1977799*1977800*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
East Ohgishima Oil Terminal (Eot),10121,20013,139.7538,35.4989,1966997,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1977794*1977795*1977796*1977797*1977798*1977799*1977800*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
Jx Nikko-Niseki (Shin Nihon Sekiyu Seisei Ukishima Honsan),10121,20023,139.7697,35.5151,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
Nippon Vopak,10121,40418,139.7592,35.5248,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
Mc Terminal,10121,40419,139.7567,35.5156,1963397,1963394*1963395*1963396*1963397*1963398*1963399*1963400*1966994*1966995*1966996*1966997*1966998*1966999*1967000*1970594*1970595*1970596*1970597*1970598*1970599*1970600*1974194*1974195*1974196*1974197*1974198*1974199*1974200*1952594*1952595*1952596*1952597*1952598*1952599*1952600*1956194*1956195*1956196*1956197*1956198*1956199*1956200*1959794*1959795*1959796*1959797*1959798*1959799*1959800*
